2026 Half-PPR RB Projections - Consensus Fantasy Football Stats for Running Backs | FantasyPros,,,,,,,,
,RUSHING,,,RECEIVING,,,MISC,
Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Dylan Sampson CLE,74.2,257.2,1.4,37.9,291.8,2.1,1.2,92.1
Mike Washington Jr. LV,126,487.1,3.1,17.7,143.5,0.6,1.2,92
AJ Dillon CAR,121,532,3,18,146,1,5,90.8
Tyler Allgeier ARI,111.7,425.3,4.7,17.1,110.9,0.2,0.6,90
Braelon Allen NYJ,111.8,449,4.5,13.9,100.6,0.7,1.7,89.5
Samaje Perine CIN,98.5,441.8,3.7,17.9,135.7,0.4,1.9,87.2
Kaelon Black SF,113.6,452.7,3.6,10.6,94.9,0.7,1.2,83.4
Tyrone Tracy Jr. NYG,86.5,366.1,1.8,23.6,181,1.1,0.6,83.1
Ty Johnson BUF,51.9,222.2,2.1,22.8,244,2.1,0.2,82.9
Brian Robinson Jr. ATL,120.2,517.1,3.9,7.3,46.7,0.1,0.7,82.5
Tank Bigsby PHI,104.6,510.9,4.2,3.8,31.8,0.1,0.7,80.3
Keaton Mitchell LAC,95.6,432.8,2.2,15.5,114.5,0.4,0.7,76.6
Emari Demercado KC,76.8,427.5,1.7,16.4,119.8,0.8,1.7,74.6
Jordan James SF,80.7,322.6,2.5,14,131.6,0.6,1.1,68.8
Najee Harris NYG,93.4,390.8,2.6,10.6,75.6,0.2,0.2,68.6
Jonah Coleman DEN,65.5,272.4,2.1,17.4,126.6,0.8,0.3,65.4
Adam Randall BAL,55.1,281.7,2,10.8,108.9,1.1,0.6,61.7
Malik Davis DAL,73.6,344.8,2.5,6.6,52.3,0.1,0.6,57.4
James Conner ARI,42.5,153.5,1.5,18,138,1,0,53.2
Kimani Vidal LAC,60.2,234.2,1.6,11.9,104,0.7,0.1,53
Jaydon Blue DAL,62.4,263,2,8.7,61.7,0.4,0.3,50.3
Emanuel Wilson SEA,70.2,290.5,1.7,7.7,52.1,0,0.5,47.4
Jaylen Wright MIA,79.9,308.9,1.5,7.2,52.5,0.1,1.2,47.1
Jawhar Jordan HOU,51.3,218,1.1,11,86,0.5,0.5,44.6
Kyle Juszczyk SF,4.2,10.3,0.1,23.7,207.8,1.5,0.1,42.8
Isaiah Davis NYJ,35.1,174.7,1.2,9.9,78.6,0.2,0.1,38.4
George Holani SEA,38.9,164.1,1.5,8,62.2,0.3,0.2,37.1
Chris Brooks GB,39.7,176.1,0.8,10.9,75.8,0.2,0.1,36.7
LeQuint Allen Jr. JAC,32,126,0.6,15.3,99.1,0.4,0.1,36.2
Jerome Ford WAS,35,194,1,8,46,0,0,34
Frank Gore Jr. BUF,37,175,2,3,26,0,0,33.6
Roschon Johnson CHI,34,116,3,3,18,0,0,32.9
Ollie Gordon II MIA,49.4,203.5,1.2,3.9,27.7,0.1,0.2,32.8
Emmett Johnson KC,39.8,166.2,1.3,5.7,41.2,0.2,0.1,32.3
Trayveon Williams DET,32,138,1,9,77,0,0,32
Ray Davis BUF,32.3,137.9,1.1,7.8,60,0.4,0.2,32
DJ Giddens IND,33.3,140.5,1,8.4,58.3,0.3,0.2,31.6
Sean Tucker TB,39.3,163.6,2.2,1.5,10.2,0,0.1,31.4
Brashard Smith KC,25,89.5,0.5,10.5,71,0.5,0,27.3
Jam Miller NE,34,145,1,2,25,0,0,24
Jeremy McNichols WAS,17,88,1,7,53,0,0,23.6
Salvon Ahmed CHI,35,153,1,1,12,0,0,23
Israel Abanikanda DAL,32,146,1,1,14,0,0,22.5
Dameon Pierce PHI,35,161,1,0,0,0,0,22.1
Will Shipley PHI,9.3,39.6,0.3,11.3,83.5,0.4,0.1,21.9
Donovan Edwards MIA,31,130,1,2,19,0,0,21.9
Carlos Washington Jr. MIA,31,130,1,2,19,0,0,21.9
Deuce Vaughn HOU,33,142,1,1,9,0,0,21.6
Seth McGowan IND,22.3,96.4,1.2,3.1,27.3,0.1,0,21.6
Kendre Miller NO,29.4,119.9,1.3,1.8,10.9,0,0,21.5
Hunter Luepke DAL,13.4,56.5,0.4,8.6,61.6,0.4,0.1,20.7
Kaytron Allen WAS,23.6,110.9,0.7,3,25.7,0.1,0,20
Tahj Brooks CIN,30.3,128.4,0.9,0,0,0,0.1,18.2
Devin Neal NO,23,90,1,2.5,17.5,0,0,18
Nicholas Singleton TEN,20.3,83.7,0.6,4.3,30.2,0.2,0.1,17.6
Phil Mafah DAL,16,71,1,2,17,0,0,15.8
Demond Claiborne MIN,14.2,59.3,0.4,4.5,29.4,0.2,0.1,14.4
Michael Burton CLE,6.6,13.9,0.6,5.1,33.4,0.6,0,14
Isaac Guerendo SF,16.5,80,0.5,2,18.5,0,0,13.9
Trevor Etienne CAR,12.3,52.4,0.3,4.1,29.3,0.1,0.1,12.7
Andrew Beck NYJ,0.5,4,0,4.6,31.7,1.1,0,12.5
Alec Ingold LAC,2.1,8.6,0.1,7.9,58.7,0.2,0.1,12.4
Adam Prentice DEN,4.1,17.4,0.1,4.1,29.9,0.2,0,8.4
Connor Heyward LV,4.2,17.4,0.1,4,29,0.2,0,8.2
Max Bredeson MIN,2,8.5,0.1,4.5,29.4,0.2,0,7.4
Riley Nowakowski PIT,0,0,0,4.3,29.2,0.2,0,6
Reggie Gilliam NE,0,0,0,4.1,29.8,0.2,0,5.9
Patrick Ricard NYG,0,0,0,3.9,26.8,0.1,0,5.4
Kaleb Johnson PIT,8.6,35.9,0.2,0,0,0,0,4.9
British Brooks HOU,4.2,18,0.1,0,0,0,0,2.4
Devin Singletary NYG,0,0,0,0,0,0,0,0
DeeJay Dallas JAC,0,0,0,0,0,0,0,0
Kene Nwangwu NYJ,0,0,0,0,0,0,0,0
Tyler Badie DEN,0,0,0,0,0,0,0,0
Bam Knight ARI,0,0,0,0,0,0,0,0
Trey Benson ARI,0,0,0,0,0,0,0,0
Jacob Saylors DET,0,0,0,0,0,0,0,0
Zavier Scott MIN,0,0,0,0,0,0,0,0
Rasheen Ali BAL,0,0,0,0,0,0,0,0
Dylan Laube LV,0,0,0,0,0,0,0,0
Chris Collier LV,0,0,0,0,0,0,0,0
Josh Williams TB,0,0,0,0,0,0,0,0
